day,open,high,low,close,volume
2023-08-01 13:17:00,3995.989,3996.631,3995.358,3995.500,32315000
2023-08-01 13:18:00,3995.233,3995.369,3993.622,3993.622,34031500
2023-08-01 13:19:00,3993.449,3993.449,3991.178,3991.178,43761900
2023-08-01 13:20:00,3991.158,3991.250,3989.706,3989.757,41922100
2023-08-01 13:21:00,3989.651,3991.450,3989.113,3990.952,61862900
2023-08-01 13:22:00,3990.656,3992.464,3990.392,3990.522,43616100
2023-08-01 13:23:00,3990.425,3990.866,3988.776,3988.776,36916600
2023-08-01 13:24:00,3988.793,3993.186,3988.793,3993.186,47890000
2023-08-01 13:25:00,3993.055,3993.500,3992.468,3992.875,30322300
2023-08-01 13:26:00,3992.666,3992.666,3991.526,3991.626,29981300
2023-08-01 13:27:00,3991.602,3994.684,3991.486,3993.692,36872000
2023-08-01 13:28:00,3993.655,3993.655,3990.990,3990.990,32952200
2023-08-01 13:29:00,3990.817,3990.996,3989.493,3989.983,34377400
2023-08-01 13:30:00,3989.794,3993.358,3989.794,3992.280,38720400
2023-08-01 13:31:00,3992.637,3994.576,3991.744,3994.576,53897700
2023-08-01 13:32:00,3993.996,3994.311,3993.319,3994.137,29837000
2023-08-01 13:33:00,3994.129,3997.320,3994.129,3997.257,53594600
2023-08-01 13:34:00,3997.655,3998.148,3996.737,3996.788,37922700
2023-08-01 13:35:00,3996.619,3996.619,3994.878,3994.878,35173200
2023-08-01 13:36:00,3994.690,3994.726,3992.569,3994.722,38309600
2023-08-01 13:37:00,3994.433,3995.148,3992.999,3993.124,35000300
2023-08-01 13:38:00,3993.436,3993.436,3991.241,3991.395,34590400
2023-08-01 13:39:00,3991.292,3991.461,3990.121,3990.220,36947900
2023-08-01 13:40:00,3990.219,3991.445,3990.084,3990.805,42020800
2023-08-01 13:41:00,3990.898,3990.898,3989.631,3989.736,37943400
2023-08-01 13:42:00,3989.465,3992.160,3989.465,3991.930,35156400
2023-08-01 13:43:00,3992.065,3992.844,3991.743,3991.743,31333700
2023-08-01 13:44:00,3991.834,3991.834,3990.215,3990.215,25447600
2023-08-01 13:45:00,3990.070,3990.219,3989.592,3989.757,23179200
2023-08-01 13:46:00,3989.999,3992.184,3989.904,3991.774,37655700
2023-08-01 13:47:00,3991.711,3992.244,3991.303,3991.661,32500100
2023-08-01 13:48:00,3991.671,3992.753,3991.671,3992.360,25960400
2023-08-01 13:49:00,3992.102,3992.252,3991.518,3991.577,25767000
2023-08-01 13:50:00,3991.698,3991.698,3990.821,3990.922,27488900
2023-08-01 13:51:00,3991.135,3991.135,3990.366,3990.420,29046000
2023-08-01 13:52:00,3990.692,3992.803,3990.479,3992.380,31199000
2023-08-01 13:53:00,3992.598,3994.358,3991.919,3994.358,33538100
2023-08-01 13:54:00,3994.217,3994.374,3992.918,3992.918,32380400
2023-08-01 13:55:00,3993.217,3993.217,3990.986,3991.199,28510500
2023-08-01 13:56:00,3991.495,3991.628,3990.992,3991.376,27960800
2023-08-01 13:57:00,3991.726,3991.726,3990.434,3991.073,30135100
2023-08-01 13:58:00,3990.727,3990.727,3989.664,3989.723,27422000
2023-08-01 13:59:00,3989.655,3989.807,3988.488,3988.488,31988500
2023-08-01 14:00:00,3988.679,3988.745,3987.613,3987.776,45946100
2023-08-01 14:01:00,3987.713,3990.069,3987.713,3989.028,35919200
2023-08-01 14:02:00,3989.220,3992.123,3989.220,3991.288,39251900
2023-08-01 14:03:00,3991.311,3991.533,3990.433,3990.623,27505000
2023-08-01 14:04:00,3990.786,3992.837,3990.412,3992.055,35879100
2023-08-01 14:05:00,3992.017,3992.017,3990.376,3990.647,27728500
2023-08-01 14:06:00,3990.427,3990.737,3989.650,3989.650,30272000
2023-08-01 14:07:00,3989.785,3992.788,3989.785,3992.579,41593800
2023-08-01 14:08:00,3992.630,3992.630,3991.284,3991.317,25654700
2023-08-01 14:09:00,3991.368,3991.386,3990.467,3990.621,26698200
2023-08-01 14:10:00,3990.445,3991.158,3989.960,3990.750,30131000
2023-08-01 14:11:00,3991.191,3991.394,3990.091,3990.654,29976000
2023-08-01 14:12:00,3990.513,3990.513,3989.447,3989.615,25759500
2023-08-01 14:13:00,3989.718,3989.951,3988.917,3988.921,27459000
2023-08-01 14:14:00,3988.890,3989.343,3988.490,3988.985,33872900
2023-08-01 14:15:00,3988.879,3989.260,3987.370,3987.370,32685400
2023-08-01 14:16:00,3987.342,3988.209,3985.890,3988.189,56971700
2023-08-01 14:17:00,3987.877,3987.877,3986.332,3986.780,35737000
2023-08-01 14:18:00,3986.267,3986.267,3984.587,3985.343,43408000
2023-08-01 14:19:00,3985.385,3985.654,3983.338,3983.338,50629200
2023-08-01 14:20:00,3983.422,3988.070,3983.142,3986.937,59636400
2023-08-01 14:21:00,3986.764,3989.134,3986.764,3988.599,41995900
2023-08-01 14:22:00,3988.249,3991.434,3988.171,3990.507,52517200
2023-08-01 14:23:00,3990.799,3990.799,3989.978,3990.719,30179900
2023-08-01 14:24:00,3990.165,3990.165,3989.313,3989.805,34648900
2023-08-01 14:25:00,3989.633,3991.512,3989.102,3990.537,42924800
2023-08-01 14:26:00,3990.852,3991.488,3990.048,3990.261,35638300
2023-08-01 14:27:00,3990.439,3992.603,3990.398,3992.300,34654500
2023-08-01 14:28:00,3992.247,3994.113,3992.226,3993.331,42947700
2023-08-01 14:29:00,3993.973,3995.639,3993.666,3995.639,47997700
2023-08-01 14:30:00,3995.265,3995.944,3993.611,3993.657,38125600
